,Unnamed: 0,Unnamed: 0.1,Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile,new_col
8127,8127,6148,Athletic Bilbao,Txomin Nagore,24,Spagna,Centrale,CC,-,CD Numancia,Spagna,gratuito,Out,1990-99,e,laliga,https://www.transfermarkt.it/txomin-nagore/profil/spieler/7764,"Athletic Bilbao,CD Numancia"
8128,8128,6149,Athletic Bilbao,Juan José Valencia,27,Spagna,Portiere,POR,-,Sevilla FC,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/juan-jose-valencia/profil/spieler/29119,"Athletic Bilbao,Sevilla FC"
8129,8129,6150,Athletic Bilbao,Jorge Pérez,23,Spagna,Centrale,CC,-,CD Numancia,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/jorge-perez/profil/spieler/51413,"Athletic Bilbao,CD Numancia"
8130,8130,6151,Athletic Bilbao,César Caneda,21,Spagna,Difensore centrale,DC,-,UD Salamanca,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/cesar-caneda/profil/spieler/51682,"Athletic Bilbao,UD Salamanca"
8131,8131,6152,Athletic Bilbao,Mikel,24,Spagna,Punta centrale,P,-,Unió Esportiva Lleida,Spagna,,Out,1990-99,e,laliga,https://www.transfermarkt.it/mikel/profil/spieler/8325,"Athletic Bilbao,Unió Esportiva Lleida"
8133,8133,6154,Málaga CF,Irurzun,24,Spagna,Punta centrale,P,-,CA Osasuna,Spagna,Prestito,Out,1990-99,e,laliga,https://www.transfermarkt.it/irurzun/profil/spieler/16255,"Málaga CF,CA Osasuna"
8134,8134,6155,Málaga CF,Ariel Zárate,26,Argentina,Trequartista,TQ,-,Elche CF,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/ariel-zarate/profil/spieler/29200,"Málaga CF,Elche CF"
8135,8135,6156,Málaga CF,Quino,28,Spagna,Attacco,Attacco,-,Recreativo Huelva,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/quino/profil/spieler/13353,"Málaga CF,Recreativo Huelva"
8136,8136,6157,Málaga CF,Dani,25,Spagna,Portiere,POR,-,UD Almería,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/dani/profil/spieler/22715,"Málaga CF,UD Almería"
8137,8137,6158,Málaga CF,Cristian Díaz,23,Argentina,Difensore centrale,DC,-,Atlético de Madrid,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/cristian-diaz/profil/spieler/51499,"Málaga CF,Atlético de Madrid"
